Word,IPA,Grapheme to Phoneme Breakdown
go,/ɡoʊ/,"g → /ɡ/, o → /oʊ/"
come,/kʌm/,"c → /k/, o → /ʌ/, m → /m/"
went,/wɛnt/,"w → /w/, e → /ɛ/, n → /n/, t → /t/"
up,/ʌp/,"u → /ʌ/, p → /p/"
you,/juː/,"y → /j/, ou → /uː/"
day,/deɪ/,"d → /d/, ay → /eɪ/"
was,/wəz/,"w → /w/, a → /ə/, s → /z/"
look,/lʊk/,"l → /l/, oo → /ʊ/, k → /k/"
are,/ɑr/,"a → /ɑ/, re → /r/"
the,/ðə/,"th → /ð/, e → /ə/"
of,/əv/,"o → /ə/, f → /v/"
we,/wiː/,"w → /w/, e → /iː/"
this,/ðɪs/,"th → /ð/, i → /ɪ/, s → /s/"
dog,/dɔɡ/,"d → /d/, o → /ɔ/, g → /ɡ/"
me,/miː/,"m → /m/, e → /iː/"
like,/laɪk/,"l → /l/, i → /aɪ/, ke → /k/"
going,/ˈɡoʊ.ɪŋ/,"g → /ɡ/, o → /oʊ/, i → /ɪ/, ng → /ŋ/"
big,/bɪɡ/,"b → /b/, i → /ɪ/, g → /ɡ/"
she,/ʃiː/,"sh → /ʃ/, e → /iː/"
and,/ænd/,"a → /æ/, n → /n/, d → /d/"
they,/ðeɪ/,"th → /ð/, ey → /eɪ/"
my,/maɪ/,"m → /m/, y → /aɪ/"
see,/siː/,"s → /s/, ee → /iː/"
on,/ɑn/,"o → /ɑ/, n → /n/"
away,/əˈweɪ/,"a → /ə/, w → /w/, ay → /eɪ/"
mum,/mʌm/,"m → /m/, u → /ʌ/, m → /m/"
it,/ɪt/,"i → /ɪ/, t → /t/"
at,/æt/,"a → /æ/, t → /t/"
play,/pleɪ/,"p → /p/, l → /l/, ay → /eɪ/"
no,/noʊ/,"n → /n/, o → /oʊ/"
yes,/jɛs/,"y → /j/, e → /ɛ/, s → /s/"
for,/fɔr/,"f → /f/, o → /ɔ/, r → /r/"
a,/ə/,a → /ə/
dad,/dæd/,"d → /d/, a → /æ/, d → /d/"
can,/kæn/,"c → /k/, a → /æ/, n → /n/"
he,/hiː/,"h → /h/, e → /iː/"
am,/æm/,"a → /æ/, m → /m/"
all,/ɔl/,"a → /ɔ/, ll → /l/"
is,/ɪz/,"i → /ɪ/, s → /z/"
cat,/kæt/,"c → /k/, a → /æ/, t → /t/"
get,/ɡɛt/,"g → /ɡ/, e → /ɛ/, t → /t/"
said,/sɛd/,"s → /s/, ai → /ɛ/, d → /d/"
to,/tuː/,"t → /t/, o → /uː/"
in,/ɪn/,"i → /ɪ/, n → /n/"
